Credit,Date,Average Price,Closing Value
California LCFS Credit,11/1/2021,$156.00 ,$156.00 
California LCFS Credit,10/28/2021,$165.00 ,$165.00 
Oregon CFP Credit,10/28/2021,$125.00 ,$125.00 
California LCFS Credit,10/26/2021,$167.00 ,$167.00 
Oregon CFP Credit,10/26/2021,$125.00 ,$125.00 
Oregon CFP Credit,10/25/2021,$125.00 ,$125.00 
California LCFS Credit,10/25/2021,$169.00 ,$169.00 
California LCFS Credit,10/20/2021,$170.00 ,$172.00 
Oregon CFP Credit,10/20/2021,$125.00 ,$125.00 
Oregon CFP Credit,10/19/2021,$125.00 ,$125.00 
California LCFS Credit,10/19/2021,$174.00 ,$174.00 
California LCFS Credit,10/18/2021,$174.00 ,$174.00 
Oregon CFP Credit,10/18/2021,$125.00 ,$125.00 
Oregon CFP Credit,10/15/2021,$125.00 ,$125.00 
California LCFS Credit,10/15/2021,$174.00 ,$174.00 
California LCFS Credit,10/14/2021,$175.50 ,$175.50 
Oregon CFP Credit,10/14/2021,$125.00 ,$125.00 
California LCFS Credit,10/13/2021,$173.98 ,$174.00 
Oregon CFP Credit,10/13/2021,$125.00 ,$125.00 
Oregon CFP Credit,10/12/2021,$125.00 ,$125.00 
California LCFS Credit,10/12/2021,$170.00 ,$169.00 
California LCFS Credit,10/11/2021,$163.50 ,$163.50 
Oregon CFP Credit,10/11/2021,$125.00 ,$125.00 
California LCFS Credit,10/7/2021,$162.00 ,$162.00 
Oregon CFP Credit,10/7/2021,$125.00 ,$125.00 
California LCFS Credit,10/5/2021,$160.00 ,$160.00 
Oregon CFP Credit,10/5/2021,$125.00 ,$125.00 
California LCFS Credit,10/4/2021,$159.00 ,$159.00 
Oregon CFP Credit,10/4/2021,$125.00 ,$125.00 
Oregon CFP Credit,10/1/2021,$125.00 ,$125.00 
California LCFS Credit,10/1/2021,$159.00 ,$159.00 
California LCFS Credit,9/30/2021,$159.00 ,$158.50 
Oregon CFP Credit,9/30/2021,$125.00 ,$125.00 
California LCFS Credit,9/29/2021,$155.50 ,$155.50 
Oregon CFP Credit,9/29/2021,$125.00 ,$125.00 
California LCFS Credit,9/28/2021,$160.00 ,$157.00 
Oregon CFP Credit,9/28/2021,$125.00 ,$125.00 
California LCFS Credit,9/27/2021,$161.50 ,$161.50 
Oregon CFP Credit,9/27/2021,$125.00 ,$125.00 
Oregon CFP Credit,9/23/2021,$125.00 ,$125.00 
California LCFS Credit,9/23/2021,$164.00 ,$162.50 
Oregon CFP Credit,9/22/2021,$125.00 ,$125.00 
California LCFS Credit,9/22/2021,$165.00 ,$164.00 
Oregon CFP Credit,9/21/2021,$125.00 ,$125.00 
California LCFS Credit,9/21/2021,$166.00 ,$166.00 
Oregon CFP Credit,9/20/2021,$125.00 ,$125.00 
California LCFS Credit,9/20/2021,$167.00 ,$167.00 
